created_at,entry_id,pH,Temp (C) ,TDS ppm/L,TU (NTU)
2026-04-06 06:26:06 UTC,151,9.34,71.859,65.98,304.41
2026-04-06 06:26:25 UTC,152,9.34,71.859,65.98,306.14001
2026-04-06 06:26:43 UTC,153,9.41,71.859,64.03,304.41
2026-04-06 06:27:02 UTC,154,8.42,61.098,67.45,314.82999
2026-04-06 06:27:20 UTC,155,1.83,63.542,71.85,320.06
2026-04-06 06:27:39 UTC,156,1.86,66.472,72.34,320.06
2026-04-06 06:27:58 UTC,157,2.09,71.852,71.36,316.57001
2026-04-06 06:28:16 UTC,158,1.83,65.981,66.47,302.69
2026-04-06 06:28:35 UTC,159,1.85,54.252,69.89,314.82999
2026-04-06 06:28:53 UTC,160,1.83,67.451,67.94,304.41
2026-04-06 06:29:12 UTC,161,1.83,68.432,73.8,318.31
2026-04-06 06:29:31 UTC,162,1.81,66.962,72.83,314.82999
2026-04-06 06:29:49 UTC,163,1.8,66.962,72.34,314.82999
2026-04-06 06:30:08 UTC,164,1.8,66.471,65.98,299.23001
2026-04-06 06:30:28 UTC,165,2.02,71.852,71.36,311.35001
2026-04-06 06:30:46 UTC,166,1.78,65.002,69.89,309.60999
2026-04-06 06:31:05 UTC,167,1.81,64.522,70.87,311.35001
2026-04-06 06:31:23 UTC,168,2.02,69.892,69.4,309.60999
2026-04-06 06:31:42 UTC,169,1.74,62.561,62.56,294.07001
2026-04-06 06:32:00 UTC,170,1.71,61.581,68.43,306.10001
2026-04-06 06:32:19 UTC,171,1.95,66.96,31.85,66.47
2026-04-06 06:32:38 UTC,172,1.73,62.07,292.35001,2439.60107
2026-04-06 06:32:57 UTC,173,1.76,63.05,21.98,70.38
2026-04-06 06:33:16 UTC,174,1.74,63.54,294.07001,2543.25098
2026-04-06 06:33:35 UTC,175,1.73,63.05,21.74,63.05
2026-04-06 06:33:53 UTC,176,1.76,63.54,292.35001,2591.1521
2026-04-06 06:34:11 UTC,177,2,70.38,32.02,71.36
2026-04-06 06:34:30 UTC,178,1.78,65.49,294.07001,2679.06201
2026-04-06 06:34:48 UTC,179,1.78,65,21.86,67.94
2026-04-06 06:35:07 UTC,180,1.76,65,294.07001,2690.76099
2026-04-06 06:35:27 UTC,181,1.93,69.89,336.41,336.41
2026-04-06 06:35:46 UTC,182,1.68,61.58,290.63,2604.3501
2026-04-06 06:36:05 UTC,183,1.93,68.91,302.69,2636.40991
2026-04-06 06:36:23 UTC,184,11.76,65.49,292.35001,2761.61011
2026-04-06 06:36:42 UTC,185,11.95,70.38,304.41,2690.76001
2026-04-06 06:37:00 UTC,186,11.97,70.38,304.41,2724.58008
2026-04-06 06:37:19 UTC,187,11.98,71.85,306.14001,2735.42993
2026-04-06 06:37:37 UTC,188,12,71.85,306.14001,2756.47998
2026-04-06 06:37:56 UTC,189,11.76,65.49,292.35001,2786.44995
