created_at,entry_id,pH,Temp (C) ,TDS ppm/L,TU (NTU)
2026-04-06 07:26:48 UTC,336,1.93,69.81,69.89,300.95999
2026-04-06 07:27:07 UTC,337,1.92,69.42,76.74,316.57001
2026-04-06 07:27:25 UTC,338,1.9,69.82,75.27,314.82999
2026-04-06 07:27:43 UTC,339,1.9,69.82,76.74,314.82999
2026-04-06 07:28:03 UTC,340,2.02,72.81,70.87,300.95999
2026-04-06 07:28:22 UTC,341,2.19,76.21,70.87,300.95999
2026-04-06 07:28:40 UTC,342,2.16,76.22,76.74,316.57001
2026-04-06 07:28:58 UTC,343,2.16,76.21,69.89,300.95999
2026-04-06 07:29:17 UTC,344,1.92,70.81,69.89,300.95999
2026-04-06 07:29:36 UTC,345,2.17,76.22,76.74,314.82999
2026-04-06 07:29:54 UTC,346,1.92,70.82,76.74,316.57001
2026-04-06 07:30:15 UTC,347,1.93,70.32,77.22,316.57001
2026-04-06 07:30:34 UTC,348,1.95,70.32,82.6,323.56
2026-04-06 07:30:52 UTC,349,1.93,70.32,77.71,316.57001
2026-04-06 07:31:11 UTC,350,2.21,77.21,70.87,302.69
2026-04-06 07:31:31 UTC,351,2.21,76.72,77.22,316.57001
2026-04-06 07:31:50 UTC,352,1.95,70.82,77.71,316.57001
2026-04-06 07:32:08 UTC,353,2.21,77.72,77.71,318.31
2026-04-06 07:32:27 UTC,354,1.93,70.82,77.22,316.57001
2026-04-06 07:32:46 UTC,355,1.93,69.82,76.74,314.82999
2026-04-06 07:33:04 UTC,356,2.21,76.72,77.22,316.57001
2026-04-06 07:33:23 UTC,357,1.95,70.82,78.2,318.31
2026-04-06 07:33:41 UTC,358,2.19,76.72,76.25,314.82999
2026-04-06 07:34:00 UTC,359,1.92,69.4299,2766.67993,2766.67993
2026-04-06 07:34:19 UTC,360,1.92,69.4,2.21,76.74
2026-04-06 07:34:37 UTC,361,2.17,76.74,314.82999,2756.47998
2026-04-06 07:34:56 UTC,362,1.92,69.4,2.14,75.27
2026-04-06 07:35:14 UTC,363,2.19,76.74,316.57001,2766.67993
2026-04-06 07:35:35 UTC,364,1.93,69.4,2.19,76.74
2026-04-06 07:35:54 UTC,365,1.93,69.89,300.95999,2771.70996
2026-04-06 07:36:12 UTC,366,1.9,69.4,1.88,68.43
2026-04-06 07:36:31 UTC,367,1.88,68.43,299.23001,2702.25
2026-04-06 07:37:59 UTC,368,2.29,79.67,327.07001,2809.94995
2026-04-06 07:38:17 UTC,369,2.22,77.712,79.18,323.56
2026-04-06 07:38:36 UTC,370,1.92,69.891,68.91,300.95999
2026-04-06 07:38:55 UTC,371,1.88,68.911,69.4,302.69
2026-04-06 07:39:14 UTC,372,2.14,75.762,75.76,316.57001
2026-04-06 07:39:33 UTC,373,1.85,67.452,73.8,313.09
2026-04-06 07:39:52 UTC,374,1.88,68.432,74.29,313.09
2026-04-06 07:40:11 UTC,375,2.1,74.291,67.94,299.23001
2026-04-06 07:40:29 UTC,376,1.88,68.432,73.8,313.09
2026-04-06 07:40:48 UTC,377,1.88,68.432,75.27,314.82999
2026-04-06 07:41:06 UTC,378,2.1,73.802,73.31,313.09
2026-04-06 07:41:25 UTC,379,1.92,69.401,69.89,302.69
2026-04-06 07:41:44 UTC,380,1.92,69.402,74.78,313.09
2026-04-06 07:42:02 UTC,381,1.92,69.892,76.25,316.57001
2026-04-06 07:42:23 UTC,382,1.92,69.892,76.25,316.57001
2026-04-06 07:42:42 UTC,383,2,72.831,69.89,300.95999
2026-04-06 07:43:00 UTC,384,1.9,69.891,69.89,300.95999
2026-04-06 07:43:18 UTC,385,2.16,75.762,76.25,316.57001
2026-04-06 07:43:37 UTC,386,2.16,76.252,76.74,316.57001
2026-04-06 07:43:56 UTC,387,2.16,76.252,76.74,318.31
2026-04-06 07:44:15 UTC,388,1.88,68.912,74.78,313.09
2026-04-06 07:44:33 UTC,389,2.09,73.802,74.29,313.09
2026-04-06 07:44:52 UTC,390,2.16,76.252,76.25,316.57001
2026-04-06 07:45:10 UTC,391,2.14,76.742,76.74,314.82999
2026-04-06 07:45:29 UTC,392,1.9,70.382,76.25,314.82999
2026-04-06 07:45:47 UTC,393,1.86,68.432,73.8,313.09
2026-04-06 07:46:06 UTC,394,1.9,69.402,75.76,314.82999
2026-04-06 07:46:24 UTC,395,1.88,69.892,75.76,314.82999
2026-04-06 07:46:43 UTC,396,1.83,67.451,66.96,297.51001
2026-04-06 07:47:02 UTC,397,2.12,76.251,69.4,299.23001
2026-04-06 07:47:20 UTC,398,2.12,75.762,75.76,314.82999
2026-04-06 07:47:39 UTC,399,1.88,69.402,75.76,314.82999
2026-04-06 07:47:57 UTC,400,1.85,67.452,75.27,313.09
2026-04-06 07:48:16 UTC,401,2.1,75.272,75.27,314.82999
2026-04-06 07:48:34 UTC,402,1.88,68.912,74.78,313.09
2026-04-06 07:48:54 UTC,403,2.1,75.271,71.85,309.60999
2026-04-06 07:49:12 UTC,404,1.86,68.912,74.78,313.09
2026-04-06 07:49:31 UTC,405,1.86,68.432,74.29,311.35001
2026-04-06 07:49:50 UTC,406,1.83,67.452,73.31,309.60999
2026-04-06 07:50:09 UTC,407,1.88,68.912,73.8,311.35001
2026-04-06 07:50:27 UTC,408,1.98,72.832,75.27,313.09
2026-04-06 07:50:46 UTC,409,2.05,73.312,73.31,311.35001
2026-04-06 07:51:05 UTC,410,1.88,69.402,75.76,314.82999
2026-04-06 07:51:23 UTC,411,2.1,74.781,68.43,297.51001
2026-04-06 07:51:42 UTC,412,2.12,75.271,68.91,299.23001
2026-04-06 07:52:00 UTC,413,1.86,68.912,74.78,313.09
2026-04-06 07:52:19 UTC,414,1.86,68.435,68.91,297.51001
2026-04-06 07:52:37 UTC,415,1.88,682.09998,742.12,75.27
2026-04-06 07:52:57 UTC,416,2.1,74.78,313.09,2771.19995
2026-04-06 07:53:15 UTC,417,1.88,68.91,2992.12012,75.27
2026-04-06 07:53:34 UTC,418,1.86,69.4,299.23001,2800.1001
2026-04-06 07:53:52 UTC,419,1.86,68.43,2992.12012,75.27
2026-04-06 07:54:11 UTC,420,2.12,74.78,313.09,2776.1001
2026-04-06 07:54:30 UTC,421,1.88,68.91,2992.1001,74.29
2026-04-06 07:54:48 UTC,422,1.86,68.43,299.23001,2776.19995
2026-04-06 07:55:06 UTC,423,2.12,74.29,3132.12012,75.27
2026-04-06 07:55:25 UTC,424,1.88,67.94,299.23001,2781.19995
2026-04-06 07:55:44 UTC,425,1.86,67.94,2972.1001,74.29
2026-04-06 07:56:02 UTC,426,2.12,74.29,314.82999,2730.19995
2026-04-06 07:56:21 UTC,427,2.07,73.8,3112.1001,74.29
2026-04-06 07:56:39 UTC,428,2.09,74.29,311.35001,2724.1001
2026-04-06 07:56:58 UTC,429,1.88,68.43,2992.13989,75.27
2026-04-06 07:57:17 UTC,430,1.86,69.4,299.23001,2786.19995
2026-04-06 07:57:35 UTC,431,1.85,67.94,2971.86011,67.45
2026-04-06 07:57:54 UTC,432,1.86,67.94,297.51001,2761.19995
2026-04-06 07:58:13 UTC,433,2.09,73.31,3112.09009,73.8
2026-04-06 07:58:31 UTC,434,1.86,68.43,297.51001,2756.19995
2026-04-06 07:58:50 UTC,435,2.09,73.8,3112.1001,73.31
