created_at,entry_id,pH,Temp ©,TDS ppm/L,TU (NTU)
2026-04-06 07:05:00 UTC,266,1.92,71.361,70.87,300.95999
2026-04-06 07:05:19 UTC,267,1.93,70.872,77.71,314.82999
2026-04-06 07:05:38 UTC,268,2.21,78.2,314.82999,2852.93994
2026-04-06 07:05:56 UTC,269,2.19,77.71,314.82999,2848.87988
2026-04-06 07:06:15 UTC,270,2.19,78.2,314.82999,2848.87988
2026-04-06 07:06:31 UTC,271,2.19,78.22,77.71,314.82999
2026-04-06 07:06:50 UTC,272,2.16,76.72,77.22,313.09
2026-04-06 07:07:10 UTC,273,1.92,70.32,76.74,313.09
2026-04-06 07:07:29 UTC,274,1.9,70.32,76.25,311.35001
2026-04-06 07:07:47 UTC,275,2.16,76.22,76.74,311.35001
2026-04-06 07:08:06 UTC,276,2.16,76.71,70.38,295.79001
2026-04-06 07:08:25 UTC,277,1.92,70.32,76.74,311.35001
2026-04-06 07:08:44 UTC,278,1.9,70.32,76.74,311.35001
2026-04-06 07:09:03 UTC,279,1.92,69.81,69.89,295.79001
2026-04-06 07:09:21 UTC,280,2.16,76.22,76.25,309.60999
2026-04-06 07:09:40 UTC,281,2.16,75.71,69.4,295.79001
2026-04-06 07:09:59 UTC,282,1.9,69.41,68.91,294.07001
2026-04-06 07:10:18 UTC,283,1.9,68.92,74.78,309.60999
2026-04-06 07:10:37 UTC,284,2.12,75.22,74.78,307.88
2026-04-06 07:10:55 UTC,285,1.88,67.92,74.78,309.60999
2026-04-06 07:11:17 UTC,286,1.92,68.91,69.4,295.79001
2026-04-06 07:11:35 UTC,287,2.14,75.22,75.27,309.60999
2026-04-06 07:11:54 UTC,288,1.9,68.92,75.27,307.88
2026-04-06 07:12:13 UTC,289,1.9,68.92,75.27,309.60999
2026-04-06 07:12:32 UTC,290,1.9,68.42,75.27,307.88
2026-04-06 07:12:51 UTC,291,1.9,68.92,75.27,307.88
2026-04-06 07:13:09 UTC,292,1.9,68.92,75.27,307.88
2026-04-06 07:13:27 UTC,293,2.02,71.32,75.76,309.60999
2026-04-06 07:13:46 UTC,294,2.12,75.72,75.27,309.60999
2026-04-06 07:14:05 UTC,295,1.88,68.41,69.4,294.07001
2026-04-06 07:14:23 UTC,296,1.88,68.91,68.91,294.07001
2026-04-06 07:14:42 UTC,297,2.14,75.22,75.76,311.35001
2026-04-06 07:15:00 UTC,298,2.12,75.22,76.74,311.35001
2026-04-06 07:15:19 UTC,299,1.9,69.42,76.74,313.09
2026-04-06 07:15:37 UTC,300,1.97,70.32,76.25,311.35001
2026-04-06 07:15:56 UTC,301,1.92,70.32,75.76,311.35001
2026-04-06 07:16:15 UTC,302,2.16,76.22,76.25,313.09
2026-04-06 07:16:33 UTC,303,1.92,69.82,77.22,316.57001
2026-04-06 07:16:51 UTC,304,1.93,70.81,71.36,300.95999
2026-04-06 07:17:10 UTC,305,1.95,70.81,70.38,299.23001
2026-04-06 07:17:28 UTC,306,1.93,70.82,76.74,314.82999
2026-04-06 07:17:47 UTC,307,2.19,76.72,77.71,316.57001
2026-04-06 07:18:06 UTC,308,2.21,77.22,76.74,316.57001
2026-04-06 07:18:24 UTC,309,1.93,70.82,76.74,316.57001
2026-04-06 07:18:43 UTC,310,1.93,70.32,76.74,316.57001
2026-04-06 07:19:02 UTC,311,1.95,69.81,70.38,300.95999
2026-04-06 07:19:20 UTC,312,1.93,70.32,77.22,316.57001
2026-04-06 07:19:38 UTC,313,2.21,77.22,76.74,316.57001
2026-04-06 07:19:57 UTC,314,2.21,76.72,77.71,316.57001
2026-04-06 07:20:16 UTC,315,2.19,77.71,70.87,302.69
2026-04-06 07:20:35 UTC,316,2.19,77.21,70.87,302.69
2026-04-06 07:20:53 UTC,317,2.19,77.22,77.22,318.31
2026-04-06 07:21:11 UTC,318,2.19,76.72,77.71,316.57001
2026-04-06 07:21:30 UTC,319,2.05,73.31,70.38,300.95999
2026-04-06 07:21:49 UTC,320,2.19,77.22,77.22,316.57001
2026-04-06 07:22:08 UTC,321,2.21,76.71,70.38,302.69
2026-04-06 07:22:26 UTC,322,2.19,76.72,76.74,318.31
2026-04-06 07:22:47 UTC,323,1.95,70.32,77.22,318.31
2026-04-06 07:23:06 UTC,324,2.19,76.72,77.71,318.31
2026-04-06 07:23:24 UTC,325,2.19,77.22,77.22,316.57001
2026-04-06 07:23:43 UTC,326,1.92,71.32,77.22,316.57001
2026-04-06 07:24:01 UTC,327,1.93,70.82,77.22,318.31
2026-04-06 07:24:20 UTC,328,2.19,77.21,70.38,300.95999
2026-04-06 07:24:38 UTC,329,2.19,76.72,77.22,318.31
2026-04-06 07:24:56 UTC,330,2.19,77.22,77.22,316.57001
2026-04-06 07:25:15 UTC,331,1.93,70.31,70.38,302.69
2026-04-06 07:25:34 UTC,332,1.93,70.31,70.38,302.69
2026-04-06 07:25:52 UTC,333,2.17,77.22,76.74,316.57001
2026-04-06 07:26:11 UTC,334,1.93,70.32,76.74,316.57001
2026-04-06 07:26:30 UTC,335,1.93,70.32,77.22,318.31
2026-04-06 07:26:48 UTC,336,1.93,69.81,69.89,300.95999
2026-04-06 07:27:07 UTC,337,1.92,69.42,76.74,316.57001
2026-04-06 07:27:25 UTC,338,1.9,69.82,75.27,314.82999
2026-04-06 07:27:43 UTC,339,1.9,69.82,76.74,314.82999
2026-04-06 07:28:03 UTC,340,2.02,72.81,70.87,300.95999
2026-04-06 07:28:22 UTC,341,2.19,76.21,70.87,300.95999
2026-04-06 07:28:40 UTC,342,2.16,76.22,76.74,316.57001
2026-04-06 07:28:58 UTC,343,2.16,76.21,69.89,300.95999
2026-04-06 07:29:17 UTC,344,1.92,70.81,69.89,300.95999
2026-04-06 07:29:36 UTC,345,2.17,76.22,76.74,314.82999
2026-04-06 07:29:54 UTC,346,1.92,70.82,76.74,316.57001
2026-04-06 07:30:15 UTC,347,1.93,70.32,77.22,316.57001
2026-04-06 07:30:34 UTC,348,1.95,70.32,82.6,323.56
2026-04-06 07:30:52 UTC,349,1.93,70.32,77.71,316.57001
2026-04-06 07:31:11 UTC,350,2.21,77.21,70.87,302.69
2026-04-06 07:31:31 UTC,351,2.21,76.72,77.22,316.57001
